name,professor,university,majors,weight,days,start_time,end_time,exam_date,exam_start,exam_end
مبانی احتمال,مشکانی,aut,cs,3,1:3,13:30,15:00,10,09:00,11:00
هوش مصنوعی ,رحمتی,aut,cs,4,1:3,15:00,16:30,18,09:00,11:00
نرم ریاضی,بهشتی,aut,cs,3,0:2,13:30,15:00,8,13:00,15:00
برنامه سازی پیشرفته,اکبری,aut,cs,4,1:3,13:30,15:00,10,09:00,11:00
برنامه سازی پیشرفته,بجانی,aut,cs,4,1:3,13:30,15:00,10,09:00,11:00
منطق,پورمهدیان,aut,cs,3,1:3,10:45,12:15,15,09:00,11:00
مبانی کامپیوتر و برنامه سازی ,شیرعلی,aut,cs,3,0:2,10:45,12:15,14,09:00,11:00
مبانی کامپیوتر و برنامه سازی ,حاجی محمدی,aut,cs,3,0:2,09:15,10:45,14,09:00,11:00
مبانی کامپیوتر و برنامه سازی ,عسگری پور,aut,cs,3,0:2,09:15,10:45,14,09:00,11:00
مبانی علوم ریاضی,مفیدی,aut,cs,3,1:3,15:00,16:30,18,09:00,11:00
زبان تخصصی,پیربداقی,aut,cs,3,0:2,13:30,15:00,8,13:00,15:00
مبانی سیستم های دینامیکی,صلواتی,aut,cs,3,0:2,15:30,17:00,9,09:00,11:00
فلسفه علم ,بروجردیان,aut,cs,3,1:3,10:45,12:15,15,09:00,11:00
آنالیز عددی,عباس زاده,aut,cs,3,1:3,15:00,16:30,18,09:00,11:00
جبر,اخلاقی,aut,cs,3,0:2,09:15,10:45,14,09:15,10:45
اصول سیستم های کامپیوتری,شیرعلی,aut,cs,4,1:3,15:00,17:00,18,09:00,11:00
کامپایلر,حاجی محمدی,aut,cs,3,1:3,09:15,10:45,11,09:00,11:00
بهینه سازی غیرخطی,میرحسنی,aut,cs,3,1:3,09:15,10:45,11,09:00,11:00
طراحی و تحلیل الگوریتم ها ,عسگری پور,aut,cs,3,0:2,10:45,12:15,7,09:00,11:00
نظریه محاسبه ,توانا,aut,cs,3,1:3,10:45,12:15,15,09:00,11:00
ساختمان داده و الگوریتم,مهرابی,aut,cs,4,0:2,13:00,15:00,8,13:00,15:00
مبانی نظریه محاسبه ,دیده ور,aut,cs,3,0:2,10:45,12:15,7,09:00,11:00
توابع مختلط,رضی,aut,cs,3,1:3,13:30,15:00,10,09:00,11:00
مبانی منطق و نظریه مجموعه ها,توانا,aut,cs,3,0:2,10:45,12:15,7,09:00,11:00
توپولوژی عمومی,هنری,aut,cs,3,1:3,10:45,12:15,15,09:00,11:00
معادلات دیفرانسیل با مشتقات جزیی,حاتم,aut,cs,3,0:2,09:15,10:45,14,09:00,11:00
احتمال۱,نقشینه,aut,cs,3,1:3,13:30,15:00,10,09:00,11:00
جبرخطی عددی ,دهقان,aut,cs,3,1:3,10:45,12:15,15,09:00,11:00
بهینه سازی خطی,هوشمند,aut,cs,3,1:3,09:15,10:45,11,09:00,11:00
مبانی جبر ,خسروی,aut,cs,3,0:2,09:15,10:45,14,09:00,11:00
مبانی ترکیبیات ,اخلاقی,aut,cs,3,1:3,09:15,10:45,14,13:00,15:00
مبانی ترکیبیات ,حبیبی,aut,cs,3,0:2,15:00,16:30,14,13:00,15:00
آنالیز ریاضی,ایمان فر,aut,cs,3,0:2,07:45,09:15,17,13:00,15:00
مبانی آنالیز عددی ,فخار,aut,cs,3,1:3,13:30,15:00,18,13:00,15:00
مبانی آنالیز عددی ,شاکری,aut,cs,3,0:2,09:15,10:45,18,13:00,15:00
مبانی آنالیز ریاضی,رستمی,aut,cs,3,0:2,10:45,12:15,7,09:00,11:00
مبانی ماتریس جبرخطی,پیربداقی,aut,cs,3,1:3,15:00,17:00,16,13:00,15:00
مبانی ماتریس جبرخطی,رحمتی,aut,cs,3,1:3,10:45,12:15,16,13:00,15:00
نظریه گراف,مفیدی,aut,cs,3,1:3,10:45,12:15,15,09:00,11:00
اصول حسابداری ,خلیلی,aut,cs,3,1:3,07:45,09:15,16,09:00,11:00
اصول حسابداری ,خلیلی,aut,cs,3,0:2,07:45,09:15,16,09:00,11:00
اصول مدیریت,محدث,aut,cs,3,0:2,07:45,09:15,15,13:00,15:00
ریاضیات مهندسی,ادیبی,aut,cs,3,0:2,15:00,16:30,7,09:00,11:00
